metrica,valor
Total de respostas,9.0
Respostas avaliadas com sucesso,8.0
Respostas com erro,1.0
Média da nota geral,2.38
Desvio padrão da nota geral,1.3
Menor nota geral,1.0
Maior nota geral,4.0
Erro médio absoluto,0.88
Diferença média em relação ao nível esperado,-0.88
